canonical_concept_id,canonical_concept_name,raw_concept_name,parent_domain,competency_area,source_file,source_id,alias_name,is_canonical_label,embedding_text,had_multi_source_domain_conflict
CC-0001,4th Economic Census,4th Economic Census,Industry Statistics,Statistical,MoSPI.dataset.xlsx,MOSPI014,4th Economic Census,True,4th Economic Census. Domain: Industry Statistics. Competency area: Statistical.,False
CC-0002,5th Economic Census,5th Economic Census,Industry Statistics,Statistical,MoSPI.dataset.xlsx,MOSPI013,5th Economic Census,True,5th Economic Census. Domain: Industry Statistics. Competency area: Statistical.,False
CC-0003,6th Economic Census,6th Economic Census,Industry Statistics,Statistical,MoSPI.dataset.xlsx,MOSPI012,6th Economic Census,True,6th Economic Census. Domain: Industry Statistics. Competency area: Statistical.,False
CC-0004,Agriculture and Allied Activities,Agriculture and Allied Activities,National Accounts Statistics,Statistical,07_MOSPI_national_accounts_topics.csv,NAS-T09,Agriculture and Allied Activities,True,Agriculture and Allied Activities. Domain: National Accounts Statistics. Competency area: Statistical.,False
CC-0005,All India Debt and Investment Survey,All India Debt and Investment Survey,National Sample Survey,Statistical,MoSPI.dataset.xlsx,MOSPI025,AIDIS,True,All India Debt and Investment Survey. Domain: National Sample Survey. Competency area: Statistical. Also known as: AIDIS.,False
CC-0006,Annual Survey of Industries (ASI),Annual Survey of Industries (ASI),National Sample Survey,Statistical,MoSPI.dataset.xlsx,MOSPI019,ASI,True,Annual Survey of Industries (ASI). Domain: National Sample Survey. Competency area: Statistical. Also known as: ASI.,False
CC-0007,Annual Survey of Services Sector Enterprises (ASISSE),ASISSE,National Sample Survey,Survey Statistics,05_MOSPI_statistical_domains.csv,STAT-04,ASISSE; Annual Survey of Services Sector Enterprises (ASISSE) – 2026,False,"Annual Survey of Services Sector Enterprises (ASISSE). Domain: National Sample Survey. Competency area: Survey Statistics. Also known as: ASISSE, Annual Survey of Services Sector Enterprises (ASISSE) – 2026.",False
CC-0008,Annual Survey of Unincorporated Sector Enterprises (ASUSE),Annual Survey of Unincorporated Sector Enterprises (ASUSE),National Sample Survey,Statistical,MoSPI.dataset.xlsx,MOSPI020,ASUSE,True,Annual Survey of Unincorporated Sector Enterprises (ASUSE). Domain: National Sample Survey. Competency area: Statistical. Also known as: ASUSE.,False
CC-0009,Banking and Insurance,Banking and Insurance,National Accounts Statistics,Statistical,07_MOSPI_national_accounts_topics.csv,NAS-T18,Banking and Insurance,True,Banking and Insurance. Domain: National Accounts Statistics. Competency area: Statistical.,False
CC-0010,Basic Concepts of National Accounts Aggregates,Basic Concepts of National Accounts Aggregates,National Accounts Statistics,Statistical,07_MOSPI_national_accounts_topics.csv,NAS-T02,Basic Concepts of National Accounts Aggregates,True,Basic Concepts of National Accounts Aggregates. Domain: National Accounts Statistics. Competency area: Statistical.,False
CC-0011,Capital Formation,Capital Formation,National Accounts Statistics,Statistical,07_MOSPI_national_accounts_topics.csv,NAS-T25,Capital Formation,True,Capital Formation. Domain: National Accounts Statistics. Competency area: Statistical.,False
CC-0012,Capital Stock and Consumption of Fixed Capital,Capital Stock and Consumption of Fixed Capital,National Accounts Statistics,Statistical,07_MOSPI_national_accounts_topics.csv,NAS-T26,Capital Stock and Consumption of Fixed Capital,True,Capital Stock and Consumption of Fixed Capital. Domain: National Accounts Statistics. Competency area: Statistical.,False
CC-0013,Coherence,Coherence,Metadata / Data Quality,Metadata / Quality,06_MOSPI_metadata_data_quality.csv,DQ-05,Coherence,True,Coherence. Domain: Metadata / Data Quality. Competency area: Metadata / Quality.,False
CC-0014,Comparability,Comparability,Metadata / NMDS,Metadata / Data Quality,05_MOSPI_statistical_domains.csv,STAT-07,Comparability,True,Comparability. Domain: Metadata / NMDS. Competency area: Metadata / Data Quality.,False
CC-0015,Comparability - over time,Comparability - over time,Metadata / Data Quality,Metadata / Quality,06_MOSPI_metadata_data_quality.csv,DQ-04,Comparability - over time,True,Comparability - over time. Domain: Metadata / Data Quality. Competency area: Metadata / Quality.,False
CC-0016,Comprehensive Annual Modular Survey (CAMS),Comprehensive Annual Modular Survey (CAMS),National Sample Survey,Statistical,MoSPI.dataset.xlsx,MOSPI023,CAMS,True,Comprehensive Annual Modular Survey (CAMS). Domain: National Sample Survey. Competency area: Statistical. Also known as: CAMS.,False
CC-0017,Consolidated Accounts of the Nation,Consolidated Accounts of the Nation,National Accounts Statistics,Statistical,07_MOSPI_national_accounts_topics.csv,NAS-T04,Consolidated Accounts of the Nation,True,Consolidated Accounts of the Nation. Domain: National Accounts Statistics. Competency area: Statistical.,False
CC-0018,Construction,Construction,National Accounts Statistics,Statistical,07_MOSPI_national_accounts_topics.csv,NAS-T14,Construction,True,Construction. Domain: National Accounts Statistics. Competency area: Statistical.,False
CC-0019,Consumer Food Price Index (CFPI),Consumer Food Price Index (CFPI),Price Statistics,Statistical,MoSPI.dataset.xlsx,MOSPI017,CFPI,True,Consumer Food Price Index (CFPI). Domain: Price Statistics. Competency area: Statistical. Also known as: CFPI.,False
CC-0020,Consumer Price Index (CPI),Consumer Price Index (CPI),Price Statistics,Statistical,MoSPI.dataset.xlsx,MOSPI015,CPI,True,Consumer Price Index (CPI). Domain: Price Statistics. Competency area: Statistical. Also known as: CPI.,False
CC-0021,Data collection method,Data collection method,Metadata / Data Quality,Data Collection,06_MOSPI_metadata_data_quality.csv,DQ-09,Data collection method,True,Data collection method. Domain: Metadata / Data Quality. Competency area: Data Collection.,False
CC-0022,Data Validation,Data Validation,Metadata / NMDS,Metadata / Data Quality,05_MOSPI_statistical_domains.csv,STAT-07,Data validation,True,Data Validation. Domain: Metadata / NMDS. Competency area: Metadata / Data Quality. Also known as: Data validation.,True
CC-0023,Demand Based Training,Demand Based Training,NSSTA Training Category,Training/Categorization,nssta.dataset.xlsx,NSSTA-CAT-008,Demand Based Training,True,Demand Based Training. Domain: NSSTA Training Category. Competency area: Training/Categorization.,False
CC-0024,Development of National Accounts Statistics,Development of National Accounts Statistics,National Accounts Statistics,Statistical,07_MOSPI_national_accounts_topics.csv,NAS-T01,Development of National Accounts Statistics,True,Development of National Accounts Statistics. Domain: National Accounts Statistics. Competency area: Statistical.,False
CC-0025,District Domestic Product (DDP),District Domestic Product (DDP),National Accounts Statistics,Statistical,MoSPI.dataset.xlsx,MOSPI005,District Domestic Product (DDP),True,District Domestic Product (DDP). Domain: National Accounts Statistics. Competency area: Statistical.,False
CC-0026,Documentation on methodology,Documentation on methodology,Metadata / Data Quality,Data Quality / Methodology,06_MOSPI_metadata_data_quality.csv,DQ-01,Documentation on methodology,True,Documentation on methodology. Domain: Metadata / Data Quality. Competency area: Data Quality / Methodology.,False
CC-0027,Domestic Travel Expenditure Survey (DTES) and National Household Travel Survey (NHTS),Domestic Travel Expenditure Survey (DTES) and National Household Travel Survey (NHTS),National Sample Survey,Statistical,MoSPI.dataset.xlsx,MOSPI028,Domestic Travel Expenditure Survey (DTES) and National Household Travel Survey (NHTS),True,Domestic Travel Expenditure Survey (DTES) and National Household Travel Survey (NHTS). Domain: National Sample Survey. Competency area: Statistical.,False
CC-0028,DTES/NHTS,DTES/NHTS,National Sample Survey,Survey Statistics,05_MOSPI_statistical_domains.csv,STAT-04,DTES/NHTS,True,DTES/NHTS. Domain: National Sample Survey. Competency area: Survey Statistics.,False
CC-0029,Economic Census,Economic Census,Industry Statistics,Statistical,05_MOSPI_statistical_domains.csv,STAT-02,Economic Census,True,Economic Census. Domain: Industry Statistics. Competency area: Statistical.,False
CC-0030,"Electricity, Gas and Water Supply","Electricity, Gas and Water Supply",National Accounts Statistics,Statistical,07_MOSPI_national_accounts_topics.csv,NAS-T15,"Electricity, Gas and Water Supply",True,"Electricity, Gas and Water Supply. Domain: National Accounts Statistics. Competency area: Statistical.",False
CC-0031,Electricity/Gas/Water,Electricity/Gas/Water,Industry Statistics,Statistical,05_MOSPI_statistical_domains.csv,STAT-02,Electricity/Gas/Water,True,Electricity/Gas/Water. Domain: Industry Statistics. Competency area: Statistical.,False
CC-0032,Energy Statistics,Energy Statistics,Other Statistics,Other Statistics,MoSPI.dataset.xlsx,MOSPI036,Energy Statistics,True,Energy Statistics. Domain: Other Statistics. Competency area: Other Statistics.,False
CC-0033,Environment Statistics,Environment Statistics,Other Statistics,Other Statistics,MoSPI.dataset.xlsx,MOSPI038,Environment Statistics,True,Environment Statistics. Domain: Other Statistics. Competency area: Other Statistics.,False
CC-0034,eSankhyiki,eSankhyiki,Data & Visualizations,Data Governance,MoSPI.dataset.xlsx,MOSPI039,eSankhyiki,True,eSankhyiki. Domain: Data & Visualizations. Competency area: Data Governance.,False
CC-0035,Fishing,Fishing,National Accounts Statistics,Statistical,07_MOSPI_national_accounts_topics.csv,NAS-T11,Fishing,True,Fishing. Domain: National Accounts Statistics. Competency area: Statistical.,False
CC-0036,Forestry and Logging,Forestry and Logging,National Accounts Statistics,Statistical,07_MOSPI_national_accounts_topics.csv,NAS-T10,Forestry and Logging,True,Forestry and Logging. Domain: National Accounts Statistics. Competency area: Statistical.,False
CC-0037,Frequency of data collection,Frequency of data collection,Metadata / Data Quality,Data Collection,06_MOSPI_metadata_data_quality.csv,DQ-08,Frequency of data collection,True,Frequency of data collection. Domain: Metadata / Data Quality. Competency area: Data Collection.,False
CC-0038,Glossary of Main Terms,Glossary of Main Terms,National Accounts Statistics,Statistical,07_MOSPI_national_accounts_topics.csv,NAS-T28,Glossary of Main Terms,True,Glossary of Main Terms. Domain: National Accounts Statistics. Competency area: Statistical.,False
CC-0039,Government Final Consumption Expenditure,Government Final Consumption Expenditure,National Accounts Statistics,Statistical,07_MOSPI_national_accounts_topics.csv,NAS-T23,Government Final Consumption Expenditure,True,Government Final Consumption Expenditure. Domain: National Accounts Statistics. Competency area: Statistical.,False
CC-0040,Gross Domestic Product (GDP),Gross Domestic Product (GDP),National Accounts Statistics,Statistical,07_MOSPI_national_accounts_topics.csv,NAS-T08,GDP,True,Gross Domestic Product (GDP). Domain: National Accounts Statistics. Competency area: Statistical. Also known as: GDP.,False
